Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
ureia,lipodistrofia,,text,Ureia,,,,,,,,,,,,,
creatinina,lipodistrofia,,text,Creatinina,,,,,,,,,,,,,
funcao_renal,lipodistrofia,,dropdown,Função renal,"1, G1 Normal ou Alto (>90) | 2, G2 Diminuição ligeira (60–89) | 3, G3a Diminuição moderada (45–59) | 4, G3b Diminuição pouco severa (30–44) | 5, G4 Diminuição grave (15–29) | 6, G5 Falência renal (<15)",,,,,,,,,,,,
tgo,lipodistrofia,,text,TGO,,,,,,,,,,,,,
tgp,lipodistrofia,,text,TGP,,,,,,,,,,,,,
ggt,lipodistrofia,,text,GGT,,,,,,,,,,,,,
fosfatase_alcalina,lipodistrofia,,text,Fosfatase alcalina,,,,,,,,,,,,,
tsh,lipodistrofia,,text,TSH,,,,,,,,,,,,,
t4l,lipodistrofia,,text,T4L,,,,,,,,,,,,,
anticorpo_antimicrossomal,lipodistrofia,,text,Anticorpo antimicrossomal,,,,,,,,,,,,,
anticorpo_antitireoglobul,lipodistrofia,,text,Anticorpo antitireoglobulina,,,,,,,,,,,,,
cpk,lipodistrofia,,text,CPK,,,,,,,,,,,,,
ct,lipodistrofia,,text,CT,,,,,,,,,,,,,
ldlc,lipodistrofia,,text,LDLc,,,,,,,,,,,,,
hdlc,lipodistrofia,,text,HDLc,,,,,,,,,,,,,
triglicerideos,lipodistrofia,,text,Triglicerídeos,,,,,,,,,,,,,
nhdlc,lipodistrofia,,text,nHDLc,,,,,,,,,,,,,
vldlc,lipodistrofia,,text,VLDLc,,,,,,,,,,,,,
ttgo,lipodistrofia,,text,TTGO,,,,,,,,,,,,,
microalbuminuria,lipodistrofia,,text,Microalbuminúria,,,,,,,,,,,,,
relacao_albuminacreatinin,lipodistrofia,,radio,Relação Albumina/Creatinina,"1, Normal com ligeiro aumento (<30 mg/g) | 2, Aumento moderado (30–300 mg/g) | 3, Aumento grave (>300 mg/g)",,,,,,,,,,,,
exames_de_imagem_e_funcao,lipodistrofia,,descriptive,Exames de Imagem e Função,,,,,,,,,,,,,
us_de_abdome_total,lipodistrofia,,radio,Ultrassonografia de abdome total,"1, Normal | 2, Esteatose hepática leve | 3, Esteatose hepática moderada | 4, Esteatose hepática grave | 5, Outras alterações",,,,,,,,,,,,
densitometria_de_corpo_in,lipodistrofia,,descriptive,Densitometria de Corpo Inteiro,,,,,,,,,,,,,
imc_1,lipodistrofia,,text,IMC,,,number,0,100,,,,,,,,
dmo,lipodistrofia,,text,DMO,,,,,,,,,,,,,
imma,lipodistrofia,,text,IMMA,,,,,,,,,,,,,
img,lipodistrofia,,text,IMG,,,,,,,,,,,,,
gv,lipodistrofia,,text,GV,,,,,,,,,,,,,
androide,lipodistrofia,,text,Androide,,,,,,,,,,,,,
gtgp,lipodistrofia,,text,GT/GP,,,,,,,,,,,,,
ag,lipodistrofia,,text,A/G,,,,,,,,,,,,,
ginoide,lipodistrofia,,text,Ginóide,,,,,,,,,,,,,
mma,lipodistrofia,,text,MMA,,,,,,,,,,,,,
mm_tronco,lipodistrofia,,text,MM tronco,,,,,,,,,,,,,
gc,lipodistrofia,,text,%GC,,,number,0,100,,,,,,,,
mg_mmii,lipodistrofia,,text,MG MMII,,,,,,,,,,,,,
mm_mmii,lipodistrofia,,text,MM MMII,,,,,,,,,,,,,
mg_mmss,lipodistrofia,,text,MG MMSS,,,,,,,,,,,,,
mm_mmss,lipodistrofia,,text,MM MMSS,,,,,,,,,,,,,
mm_tronco_1,lipodistrofia,,text,MM tronco,,,,,,,,,,,,,
mg_tronco,lipodistrofia,,text,MG tronco,,,,,,,,,,,,,
avaliacao_cardiaca_e_vasc,lipodistrofia,,descriptive,Avaliação Cardíaca e Vascular,,,,,,,,,,,,,
ecocardiograma,lipodistrofia,,text,Ecocardiograma,,,,,,,,,,,,,
doppler,lipodistrofia,,text,Doppler,,,,,,,,,,,,,
ecg,lipodistrofia,,text,ECG,,,,,,,,,,,,,
mapa,lipodistrofia,,text,MAPA,,,,,,,,,,,,,
holter,lipodistrofia,,text,Holter,,,,,,,,,,,,,
avaliacao_hepatica,lipodistrofia,,descriptive,Avaliação Hepática,,,,,,,,,,,,,
elastografia,lipodistrofia,,text,Elastografia,,,,,,,,,,,,,
fibroscan,lipodistrofia,,text,Fibroscan,,,,,,,,,,,,,
genetica_e_anc,lipodistrofia,,descriptive,Genética e Ancestralidade,,,,,,,,,,,,,
teste_genetico,lipodistrofia,,radio,Teste genético,"1, Positivo | 2, Negativo",,,,,,,,,,,,
qual_2,lipodistrofia,,text,Qual?,,,,,,,[teste_genetico] = '1',,,,,,
homozigose,lipodistrofia,,radio,Homozigose,"1, Sim | 2, Não",,,,,,,,,,,,
anc_amerindia,lipodistrofia,,text,Ancestralidade ameríndia (%),,,number,0,120,,,,,,,,
anc_europeia,lipodistrofia,,text,Ancestralidade europeia (%),,,number,0,120,,,,,,,,
anc_africana,lipodistrofia,,text,Ancestralidade africana (%),,,number,0,120,,,,,,,,
